num_songs,artist_id,artist_latitude,artist_longitude,artist_location,artist_name,song_id,title,duration,year
1,AR7G5I41187FB4CE6C,,,"London, England",Adam Ant,SONHOTT12A8C13493C,Something Girls,233.40363,1982
1,AR8ZCNI1187B9A069B,,,,Planet P Project,SOIAZJW12AB01853F1,Pink World,269.81832,1984
1,ARXR32B1187FB57099,,,,Gob,SOFSOCN12A8C143F5D,Face the Ashes,209.60608,2007
1,AR10USD1187B99F3F1,,,"Burlington, Ontario, Canada",Tweeterfriendly Music,SOHKNRJ12A6701D1F8,Drop of Rain,189.57016,0
1,ARGSJW91187B9B1D6B,35.21962,-80.01955,North Carolina,JennyAnyKind,SOQHXMF12AB0182363,Young Boy Blues,218.77506,0
1,ARMJAGH1187FB546F3,35.14968,-90.04892,"Memphis, TN",The Box Tops,SOCIWDW12A8C13D406,Soul Deep,148.03546,1969
1,ARD7TVE1187B99BFB1,,,California - LA,Casual,SOMZWCG12A8C13C480,I Didn't Mean To,218.93179,0
1,ARKRRTF1187B9984DA,,,,Sonora Santanera,SOXVLOJ12AB0189215,Amor De Cabaret,177.47546,0
1,ARNTLGG11E2835DDB9,,,,Clp,SOUDSGM12AC9618304,Insatiable (Instrumental Version),266.39628,0
1,ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),267.7024,0
1,ARD0S291187B9B7BF5,,,Ohio,Rated R,SOMJBYD12A6D4F8557,Keepin It Real (Skit),114.78159,0
1,ARH4Z031187B9A71F2,40.73197,-74.17418,"Newark, NJ",Faye Adams,SOVYKGO12AB0187199,Crazy Mixed Up World,156.39465,1961
1,ARB29H41187B98F0EF,41.88415,-87.63241,Chicago,Terry Callier,SOGNCJP12A58A80271,Do You Finally Need A Friend,342.56934,1972
1,AR0RCMP1187FB3F427,30.08615,-94.10158,"Beaumont, TX",Billie Jo Spears,SOGXHEG12AB018653E,It Makes No Difference Now,133.32853,1992
1,AR47JEX1187B995D81,37.83721,-94.35868,"Nevada, MO",SUE THOMPSON,SOBLGCN12AB0183212,James (Hold The Ladder Steady),124.86485,1985
1,ARNTLGG11E2835DDB9,,,,Clp,SOZQDIU12A58A7BCF6,Superconfidential,338.31138,0
1,AREBBGV1187FB523D2,,,"Houston, TX",Mike Jones (Featuring CJ_ Mello & Lil' Bran),SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),173.66159,0
1,ARMAC4T1187FB3FA4C,40.82624,-74.47995,"Morris Plains, NJ",The Dillinger Escape Plan,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,207.77751,2004
1,ARAJPHH1187FB5566A,40.7038,-73.83168,"Queens, NY",The Shangri-Las,SOYTPEP12AB0180E7B,Twist and Shout,164.80608,1964
1,ARGIWFO1187B9B55B7,,,,Five Bolt Main,SOPSWQW12A6D4F8781,Made Like This (Live),225.09669,0
1,ARDNS031187B9924F0,32.67828,-83.22295,Georgia,Tim Wilson,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),186.48771,2005
1,ARGUVEV1187B98BA17,,,,Sierra Maestra,SOGOSOV12AF72A285E,¿Dónde va Chichi?,313.12934,1997
1,AR5KOSW1187FB35FF4,49.80388,15.47491,Dubai UAE,Elena,SOZCTXZ12AB0182364,Setanta matins,269.58322,0
1,AR1Y2PT1187FB5B9CE,27.94017,-82.32547,Brandon,John Wesley,SOLLHMX12AB01846DC,The Emperor Falls,484.62322,0
1,AROUOZZ1187B9ABE51,40.79195,-73.94512,"New York, NY [Spanish Harlem]",Willie Bobo,SOBZBAZ12A6D4F8742,Spanish Grease,168.25424,1997
1,ARL7K851187B99ACD2,,,,Andy Andy,SOMUYGI12AB0188633,La Culpa,226.35057,0
1,ARNPAGP1241B9C7FD4,,,,lextrical,SOZVMJI12AB01808AF,Synthetic Dream,165.69424,0
1,ARQGYP71187FB44566,34.31109,-94.02978,"Mineola, AR",Jimmy Wakely,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,151.84934,0
1,ARIG6O41187B988BDD,37.16793,-95.84502,United States,Richard Souther,SOUQQEA12A8C134B1B,High Tide,228.5971,0
1,ARHHO3O1187B989413,,,,Bob Azzam,SORAMLE12AB017C8B0,Auguri Cha Cha,191.84281,0
1,ARC43071187B990240,,,"Wisner, LA",Wayne Watson,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),245.21098,0
1,ARI3BMM1187FB4255E,38.8991,-77.029,Washington,Alice Stuart,SOBEBDG12A58A76D60,Kassie Jones,220.78649,0
1,ARIK43K1187B9AE54C,,,"Beverly Hills, CA",Lionel Richie,SOBONFF12A6D4F84D8,Tonight Will Be Alright,307.3824,1986
1,ARD842G1187B997376,43.64856,-79.38533,"Toronto, Ontario, Canada",Blue Rodeo,SOHUOAP12A8AE488E9,Floating,491.12771,1987
1,AR1ZHYZ1187FB3C717,,,,Faiz Ali Faiz,SOILPQQ12AB017E82A,Sohna Nee Sohna Data,599.24853,0
1,ARYKCQI1187FB3B18F,,,,Tesla,SOXLBJT12A8C140925,Caught In A Dream,290.29832,2004
1,ARMBR4Y1187B9990EB,37.77916,-122.42005,California - SF,David Martin,SOTTDKS12AB018D69B,It Wont Be Christmas,241.47546,0
1,AR9AWNF1187B9AB0B4,,,"Seattle, Washington USA",Kenny G featuring Daryl Hall,SOZHPGD12A8C1394FE,Baby Come To Me,236.93016,0
1,ARQ9BO41187FB5CF1F,40.99471,-77.60454,Pennsylvania,John Davis,SOMVWWT12A58A7AE05,Knocked Out Of The Park,183.17016,0
1,AR3JMC51187B9AE49D,28.53823,-81.37739,"Orlando, FL",Backstreet Boys,SOPVXLX12A8C1402D5,Larger Than Life,236.25098,1999
1,AREDBBQ1187B98AFF5,,,,Eddie Calvert,SOBBXLX12A58A79DDA,Erica (2005 Digital Remaster),138.63138,0
1,ARPBNLO1187FB3D52F,40.71455,-74.00712,"New York, NY",Tiny Tim,SOAOIBZ12AB01815BE,I Hold Your Hand In Mine [Live At Royal Albert Hall],43.36281,2000
1,ARKULSX1187FB45F84,39.49974,-111.54732,Utah,Trafik,SOQVMXR12A81C21483,Salt In NYC,424.12363,0
1,AROGWRA122988FEE45,,,,Christos Dantis,SOSLAVG12A8C13397F,Den Pai Alo,243.82649,0
1,ARI2JSK1187FB496EF,51.50632,-0.12714,"London, England",Nick Ingman;Gavyn Wright,SODUJBS12A8C132150,Wessex Loses a Bride,111.62077,0
1,ARD7TVE1187B99BFB1,,,California - LA,Casual,SOQLGFP12A58A7800E,OAKtown,259.44771,0
1,AR7ZKHQ1187B98DD73,,,,Glad,SOTUKVB12AB0181477,Blessed Assurance,270.602,1993
1,ARLTWXK1187FB5A3F8,32.74863,-97.32925,"Fort Worth, TX",King Curtis,SODREIN12A58A7F2E5,A Whiter Shade Of Pale (Live @ Fillmore West),326.00771,0
1,ARULZCI1241B9C8611,,,,Luna Orbit Project,SOSWKAV12AB018FC91,Midnight Star,335.51628,0
1,ARPFHN61187FB575F6,41.88415,-87.63241,"Chicago, IL",Lupe Fiasco,SOWQTQZ12A58A7B63E,Streets On Fire (Explicit Album Version),279.97995,0
1,ARJIE2Y1187B994AB7,,,,Line Renaud,SOUPIRU12A6D4FA1E1,Der Kleine Dompfaff,152.92036,0
1,AR0IAWL1187B9A96D0,8.4177,-80.11278,Panama,Danilo Perez,SONSKXP12A8C13A2C9,Native Soul,197.19791,2003
1,ARVBRGZ1187FB4675A,,,,Gwen Stefani,SORRZGD12A6310DBC3,Harajuku Girls,290.55955,2004
1,AR8IEZO1187B99055E,,,,Marc Shaiman,SOINLJW12A8C13314C,City Slickers,149.86404,2008
1,ARWB3G61187FB49404,,,"Hamilton, Ohio",Steve Morse,SODAUVL12A8C13D184,Prognosis,363.85914,2000
1,AR051KA1187B98B2FF,,,,Wilks,SOLYIBD12A8C135045,Music is what we love,261.51138,0
1,AREVWGE1187B9B890A,-13.442,-41.9952,Noci (BA),Bitter End,SOFCHDR12AB01866EF,Living Hell,282.43546,0
1,ARNF6401187FB57032,40.79086,-73.96644,"New York, NY [Manhattan]",Sophie B. Hawkins,SONWXQJ12A8C134D94,The Ballad Of Sleeping Beauty,305.162,1994
1,AR558FS1187FB45658,,,,40 Grit,SOGDBUF12A8C140FAA,Intro,75.67628,2003
1,AR36F9J1187FB406F1,56.27609,9.51695,Denmark,Bombay Rockers,SOBKWDJ12A8C13B2F3,Wild Rose (Back 2 Basics Mix),230.71302,0
1,AR7SMBG1187B9B9066,,,,Los Manolos,SOBCOSW12A8C13D398,Rumba De Barcelona,218.38322,0
1,ARDR4AC1187FB371A1,,,,Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,SOBAYLL12A8C138AF9,Sono andati? Fingevo di dormire,511.16363,0
1,ARBGXIG122988F409D,37.77916,-122.42005,California - SF,Steel Rain,SOOJPRH12A8C141995,Loaded Like A Gun,173.19138,0
1,AREDL271187FB40F44,,,,Soul Mekanik,SOPEGZN12AB0181B3D,Get Your Head Stuck On Your Neck,45.66159,0
1,ARP6N5A1187B99D1A3,,,"Hamtramck, MI",Mitch Ryder,SOXILUQ12A58A7C72A,Jenny Take a Ride,207.43791,2004
1,ARGSAFR1269FB35070,,,,Blingtones,SOTCKKY12AB018A141,Sonnerie lalaleulé hi houuu,29.54404,0
1,ARAGB2O1187FB3A161,,,,Pucho & His Latin Soul Brothers,SOLEYHO12AB0188A85,Got My Mojo Workin,338.23302,0
1,AR62SOJ1187FB47BB5,,,,Chase & Status,SOGVQGJ12AB017F169,Ten Tonne,337.68444,2005
1,ARBEBBY1187B9B43DB,,,"Gainesville, FL",Tom Petty,SOFFKZS12AB017F194,A Higher Place (Album Version),236.17261,1994
1,ARNNKDK1187B98BBD5,45.80726,15.9676,Zagreb Croatia,Jinx,SOFNOQK12AB01840FC,Kutt Free (DJ Volume Remix),407.37914,0
1,ARGCY1Y1187B9A4FA5,36.16778,-86.77836,"Nashville, TN.",Gloriana,SOQOTLQ12AB01868D0,Clementina Santafè,153.33832,0
